marca,nome,preco,descricao,
Sephora Collection,1 Sombra Duo  + 1 3Pan Colorful da Coleção Craig & Karl edição limitada,146,Craig & Karl Sombra Duo Colorful Eyeshadow R$ 89 + Craig & Karl Estojo 3 Pan Colorful Palette R$ 57,
Sephora Collection,Craig & Karl Sombra Colorful 5 Palette,129,Coleção Craig & Karl - edição limitada,
Agatha Ruiz de La Prada,Coffret Love Forever Love de Agatha Ruiz de La Prada Feminino Eau de Toilette,119,,
Agatha Ruiz de La Prada,Coffret Love Love Love de Agatha Ruiz de La Prada Feminino Eau de Toilette,119,,
Agatha Ruiz de La Prada,Coffret Love Glam Love de Agatha Ruiz de La Prada Feminino Eau de Toilette,119,,
Antonio Banderas,Coffret The Secret Masculino Eau de Toilette,149,,
Agatha Ruiz de La Prada,Coffret Love Love Love de Agatha Ruiz de La Prada Feminino Eau de Toilette,119,,
Sephora Collection,Kit Jumbo Liner 12HR Wear Waterproof Set,125,Kit com cinco tons dos versáteis de lápis de olhos Jumbo Liner para destacar o olhar com cores ousadas.  Pode ser usado como delineador ou espalhe pelas pálpebras no lugar da sombra para um acabamento deslumbrante! ,
Sephora Collection,Kit Bewitching Eye ,134,Esse Kit contém três itens fundamentais para um olhar hipnotizante: 1 Máscara de Cílios Outrageous Volume Ultra Black + 1 Delineador Glitter Eyeliner & Mascara + 1 Lápis de Olhos Crayon Nano Eyeliner Midnight Black.,
Sephora Collection,Kit Fresh beauty to go,149,"Kit perfeito para criar looks para o dia e para noite. Uma sombra colorida Colorful Satin Corset eyeshadow , uma Full Action Extreme Effect 01 noir, um Gloss capaz de se adaptar ao pH da pele para criar uma cor personalizada, e um Blush",
,,,,
Sephora Collection,1 Estojo de Sombras Colorful 5  + 1 Batom Color Lip Last da Coleção Craig & Karl edição limitada,198,Craig & Karl Batom Color Lip Last R$ 69 + Craig & Karl Sombra Colorful 5 Palette R$ 129,
Sephora Collection,Kit Banho Sephora Collection,159,Sabonete Cremoso Creamy Body Wash R$ 45 + Esfoliante Smoothing Body Scrub R$ 59 + Esponja Fleur de Douche R$ 16 + Eau de Toilette Spray R$ 39,
Sephora Collection,Kit Sephora Collection,168,Esfoliante Sugar Body Scrub R$ 119 + Hidratante Nourishing Cream R$ 49,
Sephora Collection,Estojo de Maquiagem Diamonds Beauty Blockbuster,349,"Edição Blockbuster Diamond. Uma paleta completa de maquiagem que contém 130 cores para os olhos, lábios e bochechas: 72 sombras (mattes e cintilantes), 18 delineadores em gel, 32 batons, 8 blushes e 2 tutoriais para criar incontáveis looks, desde o mais ousado ao mais suave.",
Sephora Collection,Estojo de Maquiagem Color Festival Blockbuster Palette,309,"A paleta de maquiagem mais queridinha e deslumbrante, com 130 cores para os olhos, lábios e bochechas.",
Sephora Collection,Estojo de Sombras Lovely Color Wishes,169,Lindo kit com 5 mini paletas com 2 sombras cada para criar cinco looks facilmente. ,
Sephora Collection,Kit The Best of Sephora Set,279,"Kit com nove dos queridinhos mais vendidos de Sephora Collection, incluindo maquiagem, skincare, e um pincel",
Dr.Jones,Kit The Gents Box,225,Kit composto de Isotonic Face Scrub 100ml + Isotonic Shower Gel 250ml + Precision Foam 160ml + Recharge After Shave 100ml + Necessaire Saissu,
Shiseido,Shiseido Kit Pureness Oil Control 1-2-3,207,"Kit Pureness Oil-Control 1-2-3 é um programa de tratamento diurno para peles jovens no combate a oleosidade, composto de Deep Cleansing Foam 75 ml + Balancing Softner 100 ml + Matifying Moisturizer 30 ml.",
Clarins,Kit Double Serum and Radiance,369,,
Make Up For Ever,Make Up For Ever Estojo de Sombras Artist Palette Volume 2 - Artistic,189,"A paleta certa para criar olhares intensos, com tons que variam entre natural a coloridos e de elevado nível artístico e profissional. Os tons são organizados em trios para que você possa criar looks elegantes, criativos, divertidos e sedutores com mais facilidade.",
Urban Decay,Estojo de Sombras Naked 3 Palette,299,"Estojo de sombras ideal para criar looks neutros. Possui 12 cores entre nudes, marrons e rosas com diversos acabamentos. Contém um pincel de duas pontas, garantindo a maquiagem perfeita.",
Chloé,Coffret See by Chloé Feminino Eau de Parfum,441,Coffret composto See by Chloé Feminino Eau de Parfum 75 ml + Body Lotion 75 ml + Shower Gel 75 ml. ,
Guerlain,Coffret Insolence,295,Coffret Insolence Eau de Toilette 50 ml + Loção Corporal 75 ml,
Guerlain,Coffret La Petite Robe Noire,310,Coffret La Petite Robe Noire Eau de Parfum 50 ml + Loção Corporal 75 ml + Necessaire,
Guerlain,Coffret Insolence Feminino Eau de Toilette II,380,Coffret Insolence Feminino Eau de Toilette II 50 ml + Body Lotion 75 ml,
Guerlain,Coffret Le Petit Robe Noir Feminino Eau de Parfum,430,Coffret Le Petit Robe Noir Feminino Eau de Parfum 50 ml + Body Lotion 75 ml,
Guerlain,Coffret Aqua Allegoria Limon Verde Feminino Eau de Toilette II,390,"Coffret Aqua Allegoria Limon Verde Feminino Eau de Toilette II 125 ml + 2x7,5 ml",
Guerlain,Coffret L'homme Ideal Masculino Eau de Toilette II,520,Coffret L'homme Ideal Masculino Eau de Toilette II 100 ml + Shower Gel 75 ml,
Versace,Coffret Eros Masculino Eau de Toilette,489,Coffret composto por EDT 100 ml + Shower Gel 100 ml + nécessaire.,
Versace,Coffret Eros Femme Feminino Eau de Toilette,429,Coffret composto por EDT 50ml + Shower Gel 50ml e Body Lotion 50ml.,
Azzaro,Coffret Azzaro Pour Homme Masculino Eau de Toilette,199,Coffret Azzaro Pour Homme Masculino Eau de Toilette 2 X 30 ml,
Carolina Herrera,Coffret Carolina Herrera Men Masculino Eau de Toilette,479,Coffret Carolina Herrera Men Masculino Eau de Toilette 100 ml + After Shave 100 ml,
Nina Ricci,Coffret Nina MD Feminino Eau de Toilette,299,Coffret Nina MD Feminino Eau de Toilette 50 ml + Body Lotion 100 ml,
Paco Rabanne,Coffret Lady Million Feminino Eau de Parfum,499,Coffret Lady Million Feminino Eau de Parfum 80 ml + Body Lotion 100 ml,
Thierry Mugler,Coffret A Men Masculino Eau de Toilette,461,Coffret A*Men Masculino Eau de Toilette 100 ml + Hair Body Shower 50 ml + Deo 20 ml,
Burberry,Coffret My Burberry Feminino Eau de Toilette,549,Coffret My Burberry Feminino Eau de Toilette 50 ml + Shower Gel 240 ml,
Bvlgari,Coffret Bvlgari Man in Black Masculino Eau de Parfum,778,Coffret Bvlgari Man in Black Masculino Eau de Parfum 100 ml + Shower Gel 75 ml + After Shave 75 ml + Necessaire,
Van Cleef & Arpels,Coffret Tsar Masculino Eau de Toilette,455,Coffret Tsar Masculino Eau de Toilette 100 ml + After Shave 100 ml,
Montblanc,Coffret Montblanc Legend Intense Masculino Eau de Toilette,573,Coffret Montblanc Legend Intense Masculino Eau de Toilette 100 ml + Shower Gel 100 ml + After Shave 100 ml,
Montblanc,Coffret Montblanc Emblem Masculino Eau de Toilette,489,Coffret Montblanc Emblem Masculino Eau de Toilette 100 ml + Shower Gel 100 ml + After Shave 100 ml,
Montblanc,Coffret Montblanc Emblem Intense Masculino Eau de Toilette,571,Coffret Montblanc Emblem Intense Masculino Eau de Toilette 100 ml + Shower Gel 100 ml + After Shave 100 ml,
Montblanc,Coffret Montblanc Legend Spirit Masculino Eau de Toilette,389,Coffret Montblanc Legend Spirit Masculino Eau de Toilette 50 ml + After Shave 100 ml,
Jimmy Choo,Coffret Jimmy Choo Feminino Eau de Parfum,496,Coffret Jimmy Choo Feminino Eau de Parfum 60 ml + Body Lotion 100 ml,
Jimmy Choo,Coffret Jimmy Choo Man Masculino Eau de Parfum,399,Coffret Jimmy Choo Man Masculino Eau de Parfum 50 ml + Shower Gel 100 ml,
Tommy Hilfiger,Coffret Tommy Hilfiger Spring,299,Coffret Tommy Hilfiger Spring 100 ml + 30 ml,
Azzaro,Coffret Azarro Wanted Masculino Eau de Toilette,489,Coffret Azarro Wanted Masculino Eau de Toilette 100 ml + Deo 150 ml,
Bvlgari,Coffret Omnia Crystalline Feminino Eau de Toilette,586,Coffret Omnia Crystalline Feminino Eau de Toilette 65 ml + Perfume Sólido ,
Bvlgari,Coffret Omnia Coral Feminino Eau de Toilette,586,Coffret Omnia Crystalline Feminino Eau de Toilette 65 ml + Perfume Sólido ,
Bvlgari,Coffret Aqva Pour Homme Masculino Eau de Toilette,454,Coffret Aqva Pour Homme Masculino Eau de Toilette 50 ml + After Shave 40 ml + Shower Gel 40 ml,
Bvlgari,Coffret Bvlgari Man Masculino Eau de Toilette,635,Coffret Bvlgari Man Masculino Eau de Toilette 100 ml + Eau de Toilette 15 ml,
Burberry,Coffret Brit Rhythm Masculino Eau de Toilette,445,Coffret Brit Rhythm Masculino Eau de Toilette 50 ml + Shower Gel 100 ml,
